Class,Data,text
-1,"Mình đã dùng anywhere thế hệ đầu, quả là đầy thất vọng, hiện tại đang vứt xó. Giá thì đắt, ngốn pin như ăn gỏi, nặng",minh da dung anywhere the he dau qua la day that vong hien tai dang vut xo gia thi dat ngon pin nhu an goi nang
-1,"Quan tâm nhất là độ trễ có cao không, dùng thi thoảng nó cứ trễ bực mình, đấy mới chỉ là dùng văn phòng chứ game thì chắc là ném đi từ lâu. Không biết con này có độ trễ không nhỉ. Dùng nhiều loại nhưng vẫn kết nhất con chuột sứ mitsumi, gọn bấm nảy tốt",quan tam nhat la do tre co cao khong dung thi thoang no cu tre buc minh day moi chi la dung van phong chu game thi chac la nem di tu lau khong biet con nay co do tre khong nhi dung nhieu loai nhung van ket nhat con chuot su mitsumi gon bam nay tot
-1,"dag xài con cùi bắp 98k....pin trâu, mỗi tội đánh liên minh ức chế đập hết 2 con",dang xai con cui bap 98000 pin trau moi toi danh lien minh uc che dap het 2 con
-1,logitech chắc hàng phải tiền triệu trở lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư. chuyển sang eblue dùng được hơn năm chưa thấy hỏng.,logitech chac hang phai tien trieu tro len dung moi thich chu em dung con co 400000 thay duoc vai bua la hu chuyen sang eblue dung duoc hon nam chua thay hong
-1,"Đang xài con m175 cùi mía , nhà xài nhiều chuột nên thử con này con kia chơi và kết quả là sau 3 tháng và 4 con chuột khác nhau đủ kiểu đa chức năng mà h chỉ còn lại là con m175 cùi mía còn xài dc :3 h đi mua chuột là xác định ko để mấy con nhân viên vấy ngắn nó dụ nửa cứ logitech mà fan",dang xai con m175 cui mia nha xai nhieu chuot nen thu con nay con kia choi va ket qua la sau 3 thang va 4 con chuot khac nhau du kieu da chuc nang ma gio chi con lai la con m175 cui mia con xai duoc   3 gio di mua chuot la xac dinh khong de may con nhan vien vay ngan no du nua cu logitech ma fan
-1,"Đang xài 2 con M185, nút chuột giữa hai con đều như hạch. xài chưa được năm , scroll đã chạy bậy rồi. Hay mua phải đồ đểu hỉ?",dang xai 2 con m185 nut chuot giua hai con deu nhu hach xai chua duoc nam scroll da chay bay roi hay mua phai do deu hi
-1,Con Anywhere 1 mình dùng bị double click cũng 3 lần rồi... chán lắm,con anywhere 1 minh dung bi double click cung 3 lan roi chan lam
-1,"Hàng cty cấp, cấp xong vứt ở nhà, xài con Xornet cho đỡ mỏi tay. Cơ mà vẫn thắc mắc là dong thấp nhất, nhưng éo bằng con misumi giá bằng 1/3.",hang cong ty cap cap xong vut o nha xai con xornet cho do moi tay co ma van thac mac la dong thap nhat nhung eo bang con misumi gia bang 1 3
-1,"Magic mouse mà ngon hơn mới lạ, Magic mouse chỉ được cái đẹp, pin thì ăn 2 tuần hết, ko di trên mọi bề mặt được bạn nhé, bảo hành thì hãng bảo hành 1 năm, còn Logitech thì năm nhé ## chuột này em đang dùng, chuột magic mouse bỏ tủ",magic mouse ma ngon hon moi la magic mouse chi duoc cai dep pin thi an 2 tuan het khong di tren moi be mat duoc ban nhe bao hanh thi hang bao hanh 1 nam con logitech thi nam nhe   chuot nay em dang dung chuot magic mouse bo tu
-1,"em giống y bác luôn, chán bluetooth kinh hồn, 1tr7 mà em không tưởng tượng được độ chuối của bluetooth",em giong y bac luon chan bluetooth kinh hon 1 tr7 ma em khong tuong tuong duoc do chuoi cua bluetooth
-1,"Mình cũng giật kinh khủng, cảm thấy hơi nản về cái bluetooth của nó..... đã cập nhật El Capitan mới nhất, lúc đầu ko bị, 1 thời gian sau lại giật lại như thường",minh cung giat kinh khung cam thay hoi nan ve cai bluetooth cua no da cap nhat el capitan moi nhat luc dau khong bi 1 thoi gian sau lai giat lai nhu thuong
-1,"Mình đã lên 10.11.3 nhưng vẫn bị, đúng là tắt wifi đi thì ngon hơn hẵn..... Chán vãi, mua em noá để khỏi dùng USB receiver, mà thấy cái bluetooth nản vãi",minh da len nhung van bi dung la tat wifi di thi ngon hon han chan vai mua em noa de khoi dung usb receiver ma thay cai bluetooth nan vai
-1,"10.11.3 mac 13"" 2015 mà ....... cảm thấy chuột ko mượt ( khá là khó chịu",mac 13 2015 ma cam thay chuot khong muot kha la kho chiu
-1,di chuyển chuột ko mượt bạn ơi. Còn cáo Scroll cũng thấy bt nhưng chả biết sao cảm giác ko thích lắm. Mới đầu test train win thì ok nhưng giờ về nhà cắm mac the xảy ra mấy chi khi chịu thật.,di chuyen chuot khong muot ban oi con cao scroll cung thay binh thuong nhung cha biet sao cam giac khong thich lam moi dau test train win thi duoc nhung gio ve nha cam mac the xay ra may chi khi chiu that
-1,Cập Nhật tình hình sau khi đi bảo hành về bên logitech thông báo chuột bình thường khi kết nối bluetooth với mac air. Mình mang mac pro ra ngoài svhouse kết nối vs bluetooth con mv anywerè 2 thì vẫn có hiện tượng lag ...... giờ mang về xài tạm chứ chả biết giải quyết sao luôn. Tính làm cái mail gửi svhouse để hối thúc bên logitech mà chả biết thế nào..... mấy bạn xài mac pro 10.11.3 kết nối bluetooth thì bt à??? Chắc kiếm chuột khác cắm test thử xem sao quá.,cap nhat tinh hinh sau khi di bao hanh ve ben logitech thong bao chuot binh thuong khi ket noi bluetooth voi mac air minh mang mac pro ra ngoai svhouse ket noi voi bluetooth con mv anywere 2 thi van co hien tuong lag gio mang ve xai tam chu cha biet giai quyet sao luon tinh lam cai mail gui svhouse de hoi thuc ben logitech ma cha biet the nao may ban xai mac pro ket noi bluetooth thi binh thuong a chac kiem chuot khac cam test thu xem sao qua
-1,"có ai mua con này dùng lúc rê nó bị đứt quãng không, e dùng thấy bị khó chịu quá, rê nó không được đều.",co ai mua con nay dung luc re no bi dut quang khong em dung thay bi kho chiu qua re no khong duoc deu
-1,"Vừa đi bảo hành con này nút middle. Chuột logitech cao cấp hình như không tốt. Trước đây xài con M905 cũng bị lỗi double click ko sửa được. Cũng may, Thành Nhân đổi cho con mới. Giờ đến con này thì cũng bị lỗi. Cho do mình xui",vua di bao hanh con nay nut middle chuot logitech cao cap hinh nhu khong tot truoc day xai con m905 cung bi loi double click khong sua duoc cung may thanh nhan doi cho con moi gio den con nay thi cung bi loi cho do minh xui
